name,value,year,lastValue,rank
fuerte,31,2012.080000,31,1
groovy,NA,2012.080000,NA,2
hydro,NA,2012.080000,NA,3
indigo,NA,2012.080000,NA,4
jade,NA,2012.080000,NA,5
kinetic,NA,2012.080000,NA,6
lunar,NA,2012.080000,NA,7
melodic,NA,2012.080000,NA,8
ardent,NA,2012.080000,NA,10
bouncy,NA,2012.080000,NA,11
crystal,NA,2012.080000,NA,12
dashing,NA,2012.080000,NA,13
eloquent,NA,2012.080000,NA,14
fuerte,39,2012.160000,31,1
groovy,NA,2012.160000,NA,2
hydro,NA,2012.160000,NA,3
indigo,NA,2012.160000,NA,4
jade,NA,2012.160000,NA,5
kinetic,NA,2012.160000,NA,6
lunar,NA,2012.160000,NA,7
melodic,NA,2012.160000,NA,8
ardent,NA,2012.160000,NA,10
bouncy,NA,2012.160000,NA,11
crystal,NA,2012.160000,NA,12
dashing,NA,2012.160000,NA,13
eloquent,NA,2012.160000,NA,14
fuerte,46,2012.250000,39,1
groovy,NA,2012.250000,NA,2
hydro,NA,2012.250000,NA,3
indigo,NA,2012.250000,NA,4
jade,NA,2012.250000,NA,5
kinetic,NA,2012.250000,NA,6
lunar,NA,2012.250000,NA,7
melodic,NA,2012.250000,NA,8
ardent,NA,2012.250000,NA,10
bouncy,NA,2012.250000,NA,11
crystal,NA,2012.250000,NA,12
dashing,NA,2012.250000,NA,13
eloquent,NA,2012.250000,NA,14
fuerte,50,2012.330000,46,1
groovy,NA,2012.330000,NA,2
hydro,NA,2012.330000,NA,3
indigo,NA,2012.330000,NA,4
jade,NA,2012.330000,NA,5
kinetic,NA,2012.330000,NA,6
lunar,NA,2012.330000,NA,7
melodic,NA,2012.330000,NA,8
ardent,NA,2012.330000,NA,10
bouncy,NA,2012.330000,NA,11
crystal,NA,2012.330000,NA,12
dashing,NA,2012.330000,NA,13
eloquent,NA,2012.330000,NA,14
fuerte,59,2012.410000,50,1
groovy,NA,2012.410000,NA,2
hydro,NA,2012.410000,NA,3
indigo,NA,2012.410000,NA,4
jade,NA,2012.410000,NA,5
kinetic,NA,2012.410000,NA,6
lunar,NA,2012.410000,NA,7
melodic,NA,2012.410000,NA,8
ardent,NA,2012.410000,NA,10
bouncy,NA,2012.410000,NA,11
crystal,NA,2012.410000,NA,12
dashing,NA,2012.410000,NA,13
eloquent,NA,2012.410000,NA,14
fuerte,161,2012.500000,59,1
groovy,NA,2012.500000,NA,2
hydro,NA,2012.500000,NA,3
indigo,NA,2012.500000,NA,4
jade,NA,2012.500000,NA,5
kinetic,NA,2012.500000,NA,6
lunar,NA,2012.500000,NA,7
melodic,NA,2012.500000,NA,8
ardent,NA,2012.500000,NA,10
bouncy,NA,2012.500000,NA,11
crystal,NA,2012.500000,NA,12
dashing,NA,2012.500000,NA,13
eloquent,NA,2012.500000,NA,14
fuerte,189,2012.580000,161,1
groovy,16,2012.580000,NA,2
hydro,NA,2012.580000,NA,3
indigo,NA,2012.580000,NA,4
jade,NA,2012.580000,NA,5
kinetic,NA,2012.580000,NA,6
lunar,NA,2012.580000,NA,7
melodic,NA,2012.580000,NA,8
ardent,NA,2012.580000,NA,10
bouncy,NA,2012.580000,NA,11
crystal,NA,2012.580000,NA,12
dashing,NA,2012.580000,NA,13
eloquent,NA,2012.580000,NA,14
fuerte,211,2012.660000,189,1
groovy,73,2012.660000,16,2
hydro,NA,2012.660000,NA,3
indigo,NA,2012.660000,NA,4
jade,NA,2012.660000,NA,5
kinetic,NA,2012.660000,NA,6
lunar,NA,2012.660000,NA,7
melodic,NA,2012.660000,NA,8
ardent,NA,2012.660000,NA,10
bouncy,NA,2012.660000,NA,11
crystal,NA,2012.660000,NA,12
dashing,NA,2012.660000,NA,13
eloquent,NA,2012.660000,NA,14
fuerte,247,2012.750000,211,2
groovy,298,2012.750000,73,1
hydro,NA,2012.750000,NA,3
indigo,NA,2012.750000,NA,4
jade,NA,2012.750000,NA,5
kinetic,NA,2012.750000,NA,6
lunar,NA,2012.750000,NA,7
melodic,NA,2012.750000,NA,8
ardent,NA,2012.750000,NA,10
bouncy,NA,2012.750000,NA,11
crystal,NA,2012.750000,NA,12
dashing,NA,2012.750000,NA,13
eloquent,NA,2012.750000,NA,14
fuerte,277,2012.830000,247,2
groovy,653,2012.830000,298,1
hydro,NA,2012.830000,NA,3
indigo,NA,2012.830000,NA,4
jade,NA,2012.830000,NA,5
kinetic,NA,2012.830000,NA,6
lunar,NA,2012.830000,NA,7
melodic,NA,2012.830000,NA,8
ardent,NA,2012.830000,NA,10
bouncy,NA,2012.830000,NA,11
crystal,NA,2012.830000,NA,12
dashing,NA,2012.830000,NA,13
